art-3402	Interactive Design
cdgd-206	Sophomore Graphic Design Studio
cdgd-230	Typography 2
cdgd-304	Web Design 1
cdgd-322	Information Architecture 2
cdgd-342	Information Architecture 1
cmp-2035	Introduction to Web Design
cmp-2035i	Introduction to Web Design (intensive)
cmp-3011	Intermediate Web Design
dsgn-352	Designing with Data
dsgn-660	Design Symposium
idesn-2115	Introduction to Web Design
idesn-3535	Advanced Web Projects
